"DisplayName","DisplayVersion","Publisher","InstallDate"
,,,
"Docker Desktop","4.52.0","Docker Inc.",
"Git","2.50.0.2","The Git Development Community","20250703"
"Intel(R) Graphics Software & Drivers","1.0.1168.2","Intel(R) Corporation",
"Microsoft Visual Studio 2010 Tools for Office Runtime (x64)","10.0.60910","Microsoft Corporation",
,,"Microsoft Corporation",
"Notepad++ (64-bit x64)","8.8.8","Notepad++ Team",
"Microsoft 365 Apps para Pequenas e Médias Empresas - pt-pt","16.0.19628.20150","Microsoft Corporation",
"Microsoft OneDrive","26.002.0105.0001","Microsoft Corporation",
"METAL GEAR SOLID V: GROUND ZEROES",,"KONAMI",
"The Elder Scrolls V: Skyrim Special Edition",,"Bethesda Game Studios",
"Surfshark","6.4.0999","Surfshark",
,,,
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40664","12.0.40664","Microsoft Corporation","20250926"
"Microsoft Windows Desktop Runtime - 9.0.11 (x64)","72.44.42433","Microsoft Corporation","20251127"
"Microsoft .NET Runtime - 9.0.11 (x64)","72.44.42384","Microsoft Corporation","20251127"
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219","10.0.40219","Microsoft Corporation","20260118"
"PowerToys (Preview)","0.97.0","Microsoft Corporation","20260121"
"oneAPI Level Zero","1.24.0","Intel","20251018"
"Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.61030","11.0.61030","Microsoft Corporation","20251030"
"Python 3.14.3 Standard Library (64-bit)","3.14.3150.0","Python Software Foundation","20260204"
"Surfshark","6.4.0999","Surfshark","20260124"
"Microsoft ASP.NET Core 8.0.22 Shared Framework (x64)","8.0.22.25528","Microsoft Corporation","20251127"
"Python 3.14.3 Core Interpreter (64-bit)","3.14.3150.0","Python Software Foundation","20260204"
"Microsoft Windows Desktop Runtime - 8.0.22 (x64)","64.88.42561","Microsoft Corporation","20251127"
"Logitech G HUB","2026.1.828335","Logitech",
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40664","12.0.40664","Microsoft Corporation","20250926"
"Python 3.14.3 Tcl/Tk Support (64-bit)","3.14.3150.0","Python Software Foundation","20260204"
"Python 3.14.3 Documentation (64-bit)","3.14.3150.0","Python Software Foundation","20260204"
"Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.50.35719","14.50.35719","Microsoft Corporation","20251127"
"Microsoft Windows Desktop Runtime - 8.0.17 (x64)","64.68.34385","Microsoft Corporation","20251209"
"Microsoft .NET Runtime - 8.0.17 (x64)","64.68.34370","Microsoft Corporation","20251209"
"Python 3.14.3 Development Libraries (64-bit)","3.14.3150.0","Python Software Foundation","20260204"
"Microsoft Visual Studio Installer","4.0.2168.39045","Microsoft Corporation","20260124"
"Intel® Graphics Software","25.40.1953.2","Intel Corporation","20251209"
"Microsoft .NET Host FX Resolver - 8.0.22 (x64)","64.88.42551","Microsoft Corporation","20251127"
"Logi Options+","1.98.823659","Logitech",
"Microsoft .NET Host - 8.0.22 (x64)","64.88.42551","Microsoft Corporation","20251127"
"Intel(R) Computing Improvement Program","2.4.11145","Intel Corporation","20260202"
"Office 16 Click-to-Run Licensing Component","16.0.19029.20208","Microsoft Corporation","20250823"
"Office 16 Click-to-Run Extensibility Component","16.0.19426.20170","Microsoft Corporation","20251208"
"PredatorSense Config","5.0.1463","ULIC Tek Inc.","20250630"
"Oracle VirtualBox 7.2.4","7.2.4","Oracle and/or its affiliates","20251127"
"Python 3.14.3 Test Suite (64-bit)","3.14.3150.0","Python Software Foundation","20260204"
"Microsoft Teams Meeting Add-in for Microsoft Office","1.25.28902","Microsoft","20260104"
"Adobe Acrobat (64-bit)","25.001.21151","Adobe","20260204"
"PredatorSense Prerequisites","5.0.1463","ULIC Tek Inc.","20250630"
"Microsoft Visual C++ 2022 X64 Additional Runtime - 14.50.35719","14.50.35719","Microsoft Corporation","20251127"
"Care Center Service","4.00.3058","Acer Incorporated","20250630"
"NVIDIA Controlador gráfico 576.80","576.80","NVIDIA Corporation","20250630"
"NVIDIA App 11.0.4.159","11.0.4.159","NVIDIA Corporation","20250630"
"NVIDIA MessageBus 3 for NvApp","3.15","NVIDIA Corporation","20250630"
"NVIDIA Backend","11.0.4.159","NVIDIA Corporation","20250630"
"NvCpl","1.0","NVIDIA Corporation","20250630"
,,,
"NVIDIA O software do sistema PhysX 9.23.1019","9.23.1019","NVIDIA Corporation","20250630"
"NVIDIA FrameView SDK 1.5.10920.35420203","1.5.10920.35420203","NVIDIA Corporation","20250630"
"NVIDIA O controlador de HD Audio 1.4.3.2","1.4.3.2","NVIDIA Corporation","20250630"
"NVIDIA Install Application","2.1002.428.0","NVIDIA Corporation","20250630"
"NVIDIA Container","1.42","NVIDIA Corporation","20250630"
"NVIDIA AIUser Container","1.42","NVIDIA Corporation","20250630"
"NVIDIA LocalSystem Container","1.42","NVIDIA Corporation","20250630"
"NVIDIA Session Container","1.42","NVIDIA Corporation","20250630"
"NVIDIA User Container","1.42","NVIDIA Corporation","20250630"
"NVIDIA NvDLISR","1.0","NVIDIA Corporation","20250630"
"NVIDIA Platform Controllers and Framework","575.82","NVIDIA Corporation","20250630"
"NVIDIA Watchdog Plugin for NvContainer","1.42","NVIDIA Corporation","20250630"
"NVIDIA Telemetry Client","19.4.23.0","NVIDIA Corporation","20250630"
"NVIDIA ShadowPlay 11.0.4.0","11.0.4.0","NVIDIA Corporation","20250630"
"NVIDIA Virtual Audio 4.65.0.3","4.65.0.3","NVIDIA Corporation","20250630"
"Python 3.14.3 Executables (64-bit)","3.14.3150.0","Python Software Foundation","20260204"
"Microsoft .NET Host FX Resolver - 8.0.17 (x64)","64.68.34370","Microsoft Corporation","20251209"
"Microsoft .NET Runtime - 8.0.22 (x64)","64.88.42551","Microsoft Corporation","20251127"
"Microsoft Visual Studio 2010 Tools for Office Runtime (x64)","10.0.60915","Microsoft Corporation","20260118"
"Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.61030","11.0.61030","Microsoft Corporation","20251030"
"Microsoft .NET Host - 9.0.11 (x64)","72.44.42384","Microsoft Corporation","20251127"
"Logi RightSightForWebcams 1.1.207","1.1.207.0","Logitech","20251208"
"Python 3.14.3 pip Bootstrap (64-bit)","3.14.3150.0","Python Software Foundation","20260204"
"Python 3.14.3 Add to Path (64-bit)","3.14.3150.0","Python Software Foundation","20260204"
"Microsoft .NET Host FX Resolver - 9.0.11 (x64)","72.44.42384","Microsoft Corporation","20251127"
"Intel® Graphics Software","25.40.1953.2","Intel Corporation","20251209"
"Node.js","24.13.0","Node.js Foundation","20260124"
"Logi Plugin Service","6.2.6.1611","Logitech","20251208"
"Microsoft Visual C++ 2022 X64 Debug Runtime - 14.44.35211","14.44.35211","Microsoft Corporation","20260124"
"Windows Subsystem for Linux","2.5.9.0","Microsoft Corporation","20250704"
